CompanyID,KnownJobs
101,|30130816|30129815|30130406|30131350|30130262|30130932|30131368|30131098|30130258|30130444|30124667|30121047|30132515|30132506|30130212|30132246|30131646|30128451|30131640|30132823|30132377|30133068|30132713|30133575|30132721|30132696
102,|R224857|R233267|R233265|R235175
103,
104,|JR0023065|JR0020369|JR0022944|JR0023018|JR0022908|JR0022784|JR0021953|JR0020638|JR0022879|JR0018407|JR0022953|JR0022542|JR0022311|JR0022557|JR0023138|JR0022133|JR0023066|JR0022601|JR0023228|JR0023229|JR0023249|JR0023251
105,|77109|80133|81443|81936|81427|82342
106,|38089|38026|38072|38196|37201|37420|36828|37243|37697|36330|1851|36904|35730|37654|36974|38077|38312
107,|R-1596491|R-1584475|R-1637565|R-1657285|R-1637748|R-1641999|R-1649597|R-1596469|R-1579921|R-1649102|R-1643581|R-1649679|R-1656041|R-1605030|R-1660371|R-1667359|R-1584293|R-1658685|R-1560296|R-1664302|R-1579314|R-1657145|R-1464670|R-1667654|R-1626288|R-1664383|R-1614215|R-1662561|R-1614224|R-1632840|R-1515658|R-1636999|R-1655814|R-1624740|R-1664354|R-1660456|R-1652377|R-1538072|R-1606135|R-1579858|R-1672419|R-1660174|R-1672585|R-1626212|R-1659047|R-1659113|R-1659140|R-1659084|R-1661906|R-1658852|R-1658911|R-1655603|R-1662261|R-1659020|R-1666754|R-1669445|R-1659353|R-1658865|R-1659152|R-1658905|R-1658883|R-1658725|R-1658914|R-1666921|R-1644972|R-1640895|R-1625379|R-1583665|R-1636002|R-1562689|R-1681296|R-1672838|R-1672857|R-1667824|R-1651189|R-1599821|R-1675571|R-1675589|R-1659348|R-1627555|R-1562317|R-1673608|R-1673612|R-1681735|R-1681704|R-1620886|R-1657737|R-1676053|R-1668184|R-1626398|R-1675472|R-1671967|R-1642596|R-1629184|R-1501476|R-1691000|R-1637960|R-1680158|R-1691485|R-1691479|R-1682463|R-1674998|R-1520344|R-1691487|R-1586903|R-1696135|R-1691503|R-1597569|R-1675881|R-1675908|R-1675899|R-1675857|R-1687452|R-1679830|R-1687646|R-1688330|R-1674470|R-1624262|R-1672623
108,|R000073047|R000073119|R000073125|R000073126|R000073059|R000073015|R000070786|R000071961|R000073602|R000072189|R000070784|R000073792|R000073626|R000071840|R000074076|R000074075|R000074074|R000067498|R000074140
109,|JR-112422|JR-114412|JR-114866|JR-115178
110,
