CompanyID,Type,SearchAPI
71,GET,https://www.janestreet.com/jobs/main.json
72,POST,https://disney.wd5.myworkdayjobs.com/wday/cxs/disney/disneycareer/jobs
73,POST,https://ghr.wd1.myworkdayjobs.com/wday/cxs/ghr/Lateral-US/jobs
74,POST,https://abcfinancial.wd5.myworkdayjobs.com/wday/cxs/abcfinancial/ABCFinancialServices/jobs
75,POST,https://activision.wd1.myworkdayjobs.com/wday/cxs/activision/External/jobs
76,POST,https://autodesk.wd1.myworkdayjobs.com/wday/cxs/autodesk/Ext/jobs
77,POST,https://belkin.wd5.myworkdayjobs.com/wday/cxs/belkin/belkin_careers/jobs
78,POST,https://bb.wd3.myworkdayjobs.com/wday/cxs/bb/BlackBerry/jobs
79,GET,https://boards.greenhouse.io/apolloio
80,POST,https://capitalone.wd1.myworkdayjobs.com/wday/cxs/capitalone/Capital_One/jobs
