CompanyID,KnownJobs
71,|4275941002|4275927002|6558007002|4748685002|6785677002|4279246002|6297339002|6184529002|6254435002|6485460002|4432196002|6297380002|5108180002|4275921002|5002846002|6654941002|6834646002|6603079002|4274288002|4276263002|4276720002|6837502002|6302325002|4794171002|6837725002|6524216002|6855956002|6855947002|6855874002|6835594002|6834728002|6838982002|6850721002|6903734002|6905979002|6923977002|5738740002|6939151002|6860671002|6971131002
72,|10049035|10058370|10059338|10051820|10043413|7112266920220515|10044628|10055910|10057585|10055693|10058368|10060142|10060149|10057987|10049959|10057775|10060645|10059517|10060527|10058369|10041446|10058995|10049022|10057770|10060071|10058742|10048865|10049026|10041251|10057776|10053937|10063249|10062167|10059725|10059101|10062154|10057930|10062089|10062357|10063309|10062500|10059014|10062725|10063323|10055496|10058092|10059388|10059460|10049029|10032311|10063037|10063293|10058352|10059913|10063203|10059019|10055708|10055714|10063850|10063210|10060806|10063547|10063797|10048859|10048860|10062412|10064951|10062326|10062521|10065490|10065217|10058381|10062646|10064305|10064353|10065292|10064344|10064294|10065884|10065821|10065010|10065051|10063176|10065047|10065519|10063290|10066150|10065021|10065478|10065037|10064071|10065042|10065876|10062571|10063196|10046367|10059058|10064958|10065993|10054173|10065661|10065192|10066893|10065028|10065992|10066017|10066149|10066133|10066105|10058371
73,|23014227|23014216|23014214|22091917|23009157|23014598|23014616|23014615|23010616|23014954|23015012|23014675|23014988|23015002|23015149|23015217|23009551|23015404|23015429|23016018|23016461|23016452|23016490|23015454|23017142|23017255|23017271|23009487|23017235|23017258|23017612|23017592|23017573|23017230|23017810|23018137|23018313|23009488|23018786|23018783|23018841|23015186|23019197|23015089|23019496|23019537|23019133|23019539|23019618|23019610
74,|REQ - 02448
75,|R021419|R021480|R021547|R021602|R021719|R021722|R021826|R021854|R021917
76,|23WD71318|23WD71822|23WD71706|23WD71903|23WD71993|23WD72194|23WD68677|23WD72787|23WD70074|23WD72937|23WD73208
77,|10011621
78,
79,
80,|R173256|R173254|R173247|R172854|R171989|R172909|R173002|R173228|R173225|R172681|R172644|R173194|R173196|R173187|R171644|R171781|R170525|R172915|R171680|R173105|R173067|R170973|R165154|R173060|R173049|R173043|R168755|R173038|R173029|R172865|R173019|R172980|R172988|R173252|R172411|R172052|R172638|R172428|R173341|R173317|R173318|R173309|R173308|R173316|R173315|R173314|R173303|R164653|R173328|R173352|R173324|R173344|R172802|R172807|R173409|R173408|R173412|R173413|R172026|R172188|R172507|R169763|R173434|R173446|R173448|R173449|R171876|R167053|R173469|R173509|R173518|R173543|R173544|R173553|R173552|R173570|R173586|R173584|R173589|R171597|R173592|R173601|R173605|R173610|R173617|R173571|R173627|R173637|R165972|R173644|R173690|R173769|R173749|R173645|R173658|R173733|R173739|R173734|R173724|R173741|R167539|R173782|R169314|R173819|R173831|R173840|R173838|R173850|R173845|R173847|R173851|R173676|R173894|R173907|R173908|R173961|R173970|R173968|R172206|R172823|R172761|R169052|R172896|R171846|R171649|R174012|R174017|R174045|R172635|R174091|R174102|R174115|R174119|R174153|R174154|R174157|R174158|R174171|R174187|R171182|R174188|R174235|R174239|R174237|R172293|R172516|R174296|R174298|R174329|R174326|R174352|R174360|R174361|R174356|R172868|R174419|R174437|R174468|R174342|R174491|R174493|R174529|R174545|R174563|R174578|R174592|R174595|R174320|R174524|R174617|R174633|R169992|R174680|R174728|R174749|R174757|R174766|R174770|R174775|R174779|R174759|R174790|R174818|R174857|R174915|R174986|R174947|R174696|R174935|R174903|R174892|R172101|R175102|R172223|R175147|R175153|R175183|R175209|R175213|R175270|R175333|R175358|R175269|R175392|R175405|R175444|R175489|R175163|R175504|R175502|R175500|R175529|R175537|R175556|R175461|R175330|R175601|R175605|R175613|R175619|R175624|R175633|R172660|R175651|R175643|R175679|R175687|R175701|R175704|R175711|R175736|R175810|R175807|R175812|R175816|R175815|R175814|R175797|R175843|R168016|R175649|R175941|R175948|R175951|R175954|R175959|R175978|R176039|R176045|R176088|R176092|R176093|R176094|R176101|R176102|R175826|R175883|R176113|R176157|R176168|R176223|R175969|R176380|R176396
