CompanyID,CompanyName,CompanyPortal
1,Amazon,Others
2,Meta,Others
3,Google,Others
4,Netflix,Others
5,Spotify,Others
6,Twitter,Others
7,Apple,Others
8,Microsoft,Others
9,Samsung Research America,GreenHouse
10,Tencent,Others
11,Nvidia,Workday
12,Oracle,Others
13,Salesforce,Workday
14,Accenture,Others
15,SAP,Others
16,Adobe,Workday
17,Intuit,Others
18,Capgemini,Others
19,VMWare,Workday
20,Uber,Uber
21,Zoom,Others
22,Atlassian,Others
23,Bloomberg,Others
24,Alibaba,Others
25,AMD,Others
26,Cisco,Others
27,Intel,Others
28,Qualcomm,Workday
29,IBM,Others
30,Sony,Workday
31,ServiceNow,Others
32,Schneider Electric,Others
33,Paypal,Others
34,Workday,Others
35,OpenAI,Others
36,LG,Others
37,Databricks,Others
38,Stripe,Others
39,Plaid,Others
40,Robinhood,GreenHouse
41,Mastercard,Others
42,Visa,Others
43,Mckinsey,Others
44,Deloitte,Others
45,Honeywell,Others
46,Boeing,Others
47,Airbus,Others
48,General Electric,Others
49,Raytheon,Others
50,Novartis,Others
51,Acer,Others
52,AT&T,Others
53,TMobile,Others
54,Dell,Others
55,HP,Others
56,HPE,Others
57,Lenovo,Others
58,Motorola,Others
59,Mozilla,Others
60,Nokia,Others
61,Siemens,Others
62,Yahoo,Others
63,Akamai Technologies,Others
64,APC,Others
65,Dassault,Others
66,MathWorks,Others
67,Discover,Workday
68,JPMorgon,Others
69,AstraZeneca,Workday
70,DeepMind,GreenHouse
71,JaneStreet,Others
72,Disney,Workday
73,BankOfAmerica,Workday
74,ABCFinancialServices,Workday
75,ActivisionBlizzard,Workday
76,AutoDesk,Workday
77,Belkin,Workday
78,BlackBerry,Workday
79,Apollo.io,GreenHouse
80,CapitalOne,Workday
81,WellsFargo,Workday
82,Citi,Workday
83,GoldmanSachs,Others
84,Santander,Workday
85,MorgonStanley,Eightfold
86,StateStreet,Workday
87,AmericanExpress,Eightfold
88,Citizens,Others
89,DeutscheBank,Workday
90,Tiktok,Tiktok
91,Akamai,Akamai
