CompanyID,KnownJobs
1,|2399328|2399320|2399174|2398270|2401897|2401874|2402467|2402638|2402663|2403856|2403848|2403853|2403850|2403849|2403851|2403855|2403854|2404027|2405125|2405263|2405294|2418366|2418349|2418195|2418189|2416989|2416994|2416990|2416993|2418837|2417902|2415489|2416991|2416181|2419014|2419116|2419332|2419803|2419809|2419959|2420001|2420791|2421000|2421016|2421045|2421102|2422993|2422349|2422689|2421860|2422688|2421843|2422063|2422060|2422061|2422062|2421560|2421891|2421890|2422497|2424148|2424105|2424950|2427436|2427530|2427871|2428778|2428922|2429521|2429520|2429925|2431181|2430007|2431967|2430889|2430884|2430016|2431381|2429704|2431133|2428318|2427709|2428745|2432107|2428951|2433096|2433144|2433927|2434189|2434294|2434424|2434972|2435002|2435173|2435171|2435356|2435465|2435483|2436049|2436112|2436168|2436237|2436400|2436401|2436398|2436399|2436802|2436827|2436865|2436951|2436998|2437001|2437208|2437226|2437295|2438386|2438388|2438389|2439177|2439293|2439333|2439372|2439396|2440300|2440304|2440485|2440820|2440968|2441672|2441839|2441842|2440991|2441912|2442165|2442264|2442860|2442937|2444198|2444216|2444217|2444213|2444212|2444242|2444525|2444529|2444530|2444532|2444540|2444753|2444842|2444863|2444916|2444911|2445134|2445135|2445183|2444915|2445192|2441124|2445214|2444304|2445265|2445720|2445704|2445780|2446095|2446107|2446291|2446470|2446684|2446747|2446941|2447727|2447934|2448256|2448277|2448466|2449209|2449281|2449414|2449821|2450060|2450082|2450219|2450308|2450325|2450358|2450391|2450390|2450406|2450572|2450915|2450908|2451277|2451270|2451288|2451274|2451293|2451316|2451319|2451309|2451924|2452019|2452137|2452364|2452388|2452495|2452506|2452569|2452537|2452690|2452991|2453521|2453526|2453525|2453735|2453776|2453764|2453763|2453821|2453816|2454618|2454681|2454946|2454955|2455021|2455495|2455552|2455709|2452303|2452324|2455968|2455990|2455989|2455986|2455981|2455971|2455969|2455973|2455967|2455993|2455992|2455991|2455988|2455987|2455985|2455984|2455982|2455980|2455979|2456014|2456148|2456352|2456535|2456664|2456677|2456951|2456958|2456980|2457055|2457107|2457190|2457210|2457940|2457960|2457992|2458364|2458991|2458989|2459034|2459460|2459474|2459865|2460014|2460063|2460064|2460195|2460589|2460675|2460784|2460900|2460935|2460990|2460960|2462238|2462337|2462498|2462599|2462598|2462784|2462845|2463058|2465038|2465043|2465024|2465151|2463614|2463619|2465533|2466801|2467006|2467048|2467093|2467515|2467951|2467969|2468068|2468466|2468814|2468938|2468945|2468952|2469156|2469203|2469881|2465627|2469938|2471179|2471198|2471264|2471311|2468936|2471366|2471369|2471420|2471418|2471489|2472928|2473391|2473434|2473553|2473603|2473696|2473746|2473731|2473733|2473730|2473803|2473843|2474319|2474325|2474343|2474359|2474540|2474551|2474552|2474546|2474701|2474785
2,
3,|82744745756893894|96078488907195078|131818961550353094|91887495253238470|104613923585434310|124890457747399366|82842453041652422|128017537536271046|89767636834886342|114141443632571078|93565366640222918|114688977874625222|77889749085233862|114512288288776902|92944142570529478|117470059929969350|119991003332387526|102369092356186822|118628711244145350|111977312154460870|109552609976558278|142170876410766022|121278467560874694|105386839457571526|111090043986027206|119782241615127238|103015880071226054|101427762763309766|120891864669659846|112945121294459590|137865349400797894|125697902472241862|104383564625126086|141544837816951494|98717351173595846|95431237872558790|97712749733126854|73541678813586118|98575230705771206|83942741118984902|125002239103115974|89043216512230086|143266230510199494|78516492187902662|95028133180121798|91299139494519494|90789172257661638|95871767836271302|122245993769902790|101460211778101958|128374410663862982|108027740357042886|113886166345753286|109686413659644614|101318193315750598|77857369326789318|125776228666745542|128742045905756870|102301722036052678|110342818326553286|82211401013043910|100029399258014406|80751249571357382|82868221771686598|78385219867943622|121789710084252358|115790968235401926|116603152456655558|119698678731416262|85570580297720518|110356146767700678|84966779836605126|129899392489398982|139119707081843398|116337994597573318|107057615021712070|106417381560984262|112656285414892230|75666240355345094|107546883737428678|103061454791287494|85129171073671878|111036121158165190|142864100238467782|103480826202596038|132799011481363142|136837270058476230|109854708312482502|76770174608253638|100909446663676614|128123217572176582|131659398280815302|75973518958699206|83400013901636294|109698686511915718|90089886754710214|137876357955625670|113480344549630662|81189961153290950|123038473218073286|125249591101530822|114500103466558150|128302666456408774|83073894199501510|132937252385759942|88030498657313478|76905711428084422|139801222375711430|91951683824689862|90546925498966726|118358417292042950|122377250117952198|90736604005442246|124785455460688582|142786006995608262|136912036849164998|88406737792443078|87712397273244358|98286157747364550|94164069864350406|133490814564082374|138680893897089734|114273497233924806|85301503280980678|119008930605998790|89324152470545094|106539136099197638|119914219870003910|113603480473477830|86032317736198854|131355149911106246|113167166003389126|135184989428818630|138991633707213510|107870096937886406|134530453592777414|79807510770262726|84378043167974086|82721903778636486|106384190053720774|127793359302337222|88481351843357382|125541559488651974|129498495678587590|99744817677771462|72676525029106374|107738195556213446|114177807258395334|118478790713057990|128203905042391750|130402172098486982|110249274073064134|115522581903090374|114781468116296390|114415811780584134|80256184528839366|121019890933867206|93674486995264198|117285915086201542|82509358732059334|90197670166962886|132581865316852422|76451481307226822|130932832219341510|97403774886126278|144076428577514182|129297389203661510|108315958566625990|74268481500914374|126671205680718534|72121135291867846|137470471449780934|123227930399515334|135972919432880838|106149491163177670|124797483248165574|91592232089330374|119545459799663302|138336560194953926|79533819348034246|123749438213497542|121212693089526470|130402411274478278|89572390574400198|116316911408423622|78172654017618630|110978782455571142|106934735738938054|113483152116064966|124813894318203590|80529689119990470|93912120019559110|74224961939481286|89095732956406470|74621401111110342|123307294952694470|126203457435509446|85647386929439430|104717728918446790|85193151188214470|81943115075592902|72826626083037894|110838130329690822|91326471861084870|141090883530302150|140975709687292614|133659215718687430|131781249858446022|115431357334594246|82487308906832582|140000150815679174|114876584998904518|75264170347373254|126049253077197510|124235058891367110|128202096844382918|90814784489824966|134605102808736454|131876565920162502|119209908500341446|72101264088801990|127053446495773382|138543417094218438|136711115326268102|121008302575231686|110488433018708678|85558656126329542|106366948041728710|91183366772007622|114070113621025478|105515019803730630|143520188973621958|77624807853564614|111163374244373190|79681057806262982|92218788897792710|93428251688346310|138349898752762566|111400980626449094|95463215984452294|113477614493934278|73122239219671750|132999993200911046|120408179881190086|121904683926069958|125912760291599046|87942500615889606|79944060329960134|83884710003909318|73751610842325702|81347947700069062|81491983723307718|119733187115918022|97337663746384582|124772322994201286|129487990926779078|95461146883957446|136014313992135366|130723807636660934|114774429403095750|138128490168754886|102896942159143622|89005076598661830|76910723571032774|138069958354444998|134530389906465478|83455875773014726|74413492146184902|79032540494471878|100334006324601542|115787167659107014|138939893242831558|120162914700010182|127204049725334214|92369234085978822|117093717732401862|113286421424284358|136359558344778438|131401088344433350|111254535998972614|121111920271860422|74231421301859014|138991966500070086|78671882225623750|106181545577849542|135891136813114054|105892904985076422|119538628922614470|82419734038880966|89720012895331014|142971525155168966|131153701650735814|107539215543083718|128747970209161926|83210011863327430|103020222752924358|106036458025820870|103328635764515526|116473847030391494|99210291817915078|100255354735993542|118269753245475526|115786746752312006|114743241498075846|101694237499630278|113814703928419014|120580754888368838|138888581268546246|126519307384300230|90490510365336262|140723898103538374|118124433027015366|74430665572917958|91611045321155270|109125853234766534|101411920172458694|136667893661082310|129094457568961222|126501534272758470|109571271408132806|95125475325551302|132855105163535046|116488118669845190|87988024584872646|137712750756274886|79016834335941318|99905356240429766|96356063986492102|81757710665556678|121050957707387590|109284911979864774|90353658211771078|133953829738554054|132705884041028294|83007477429215942|87709495955727046|113117766564618950|78408357729182406|93567693908517574|138743946634240710|112107014730982086|90214445369696966|73591109525086918|87703891023405766|109577420727558854|142116814516560582|140385770897580742|112735115043316422|113652932374602438|140061827284247238|134121095092413126|126699185446494918|123974209085809350|83632027951080134|107852276246160070|111589310110540486|79750339588170438|141206201992913606|102855490624463558|143665170359427782|117228422586868422|104001847460537030|108857290808795846|82081983649194694|108425732494893766|111202549110842054|75173752091878086|105006251332510406|113431259180344006|92144165267088070|140696012223062726|91401830753280710|101832158831616710|143828555210334918|122620900055884486|94705536777233094|135967321949643462|98293105779712710|141540254617084614|108781396589191878|141542857367265990|127355515236688582|80744262397764294|119997428804788934|104444368678462150|143404876013937350|100820378353312454|107206341887435462|120359782310650566|126791787894186694|118648117584110278|140017126069936838|122354124604744390|103494098574287558|75877673609372358|76696277196120774|85130788732838598|108274752583279302|128927978999423686|133620144870957766|81521023339373254|82031574691783366|138322975146287814|92586091749483206|77633008489636550|139698928049103558|86794482969649862|106003844460094150|136025302934397638|134973310824784582|102781843746497222|113167005948748486|118303924273717958|138708970299630278|73387225011626694|120869634657133254|114970205018301126|124426005017174726|135606934465061574|110485389363290822|100240335503794886|124972681339511494|80482592588997318|115755776011576006|99323274086752966|74891051975746246|79415267446137542|83106140612633286|103633335508443846|114810678658638534|125307269492417222|135735656245535430
4,|285371835|284967544|290042951|290203948|290187745|293421010|293528519|294126092|295255562|296600425|299574438
5,
6,
7,|200488599|200487608|200489776|200489086|200450586|200490232|200490196|200488431|200481087|200348870|200489608|200490167|200490204|200489904|200490610|200488490|200479520|200483100|200446235|200478063|200481193|200491345|200491427|200452999|200483109|200494406|200494231|200495879|200495908|200480877|200494410|200496612|200480391|200496472|200495626|200495547|200497149|200497186|200497440|200497239|200497242|200497145|200498679|200430411|200458496|200355128|200495448|200499262|200457329|200424920|200345099|200491724|200498190|200500168|200500339|200500558|200479194|200502161|200502378|200502186|200500524|200502488|200503288|200503445|200503456|200503482|200503469|200502443|200504522|200504966|200505204|200505215|200504597|200505580|200505631|200505583|200481332|200481328|200481336|200470090|200501582|200507036|200505373|200508102|200508125|200483086|200506714|200506683|200508506|200508324|200508674|200508923|200507719|200507699|200507710|200457303|200508772|200509858|200495630|200508642|200511913|200510975|200460155|200509001|200509936|200468429
8,|1573907|1575496|1578445|1581455|1578438|1573936|1577385|1579864|1582383|1584963|1578069|1583761|1584760|1584545|1573454|1572202|1579306|1586928|1586929|1586913|1586907|1579155|1585699|1560041|1586895|1585739|1586981|1574332|1582519|1598666|1594382|1598468|1592824|1594389|1595739|1593983|1592018|1594750|1597838|1596330|1591121|1547744|1599062|1539997|1599083|1599053|1571572|1600196|1577643|1602783|1599708|1602119|1605669|1596448|1599685|1600144|1549811|1602324|1602310|1602323|1602350|1602351|1602348|1606219|1586963|1609308|1602799|1607456|1607779|1599606|1588881|1602340|1610205|1612086|1612194|1610791|1612332|1613473|1613467|1612331|1551756|1613676|1612325|1612218|1616267|1614286|1615406|1571514|1616483|1616487|1610336|1615532|1617154|1617383|1618680|1613040|1617527|1617506|1614231|1614240|1619075|1618247|1616378|1607235|1607233|1613542|1618161|1613674|1585637|1616987|1620853|1619045|1619024|1618668|1556528|1623358|1611984|1616479|1617533|1616266|1602826|1622297|1624978|1623236|1618224|1584860|1613336|1620874|1624980|1626247|1621786|1625122|1624444|1613527|1626998|1621859|1625268|1624034|1624659|1613341|1623963|1627679|1600120|1622540|1621858|1625013|1624060|1618253|1627609|1612291|1608933|1624584|1618669|1597949|1592223|1587511|1629814|1612240|1628103|1630964|1587538|1627014|1629922|1628156|1616439|1631080|1628044|1625227|1630489|1629959|1626903|1631752|1629800|1630047|1629998|1630435|1595766|1542846|1631186|1631613|1631144|1629234|1631003|1631173|1632116|1631176|1623184|1627049|1592068|1629322|1627025|1545961|1593987|1632935|1633890|1631741|1616277|1631179|1628166|1632934|1629255|1632989|1632816|1631731|1631208|1632163|1631617|1625119|1612047|1633454|1633397|1635011|1635077|1631078|1630979|1592826|1636610|1636534|1637381|1636381|1636679|1633525|1636677|1621628|1618142|1635093|1632153|1637858|1587550|1622622|1616440|1631726|1635907|1637405|1638227|1611967|1611968|1612288|1636519|1618257|1639448|1637367|1638682|1633489|1637172|1637634|1638577
9,|6881469002
10,|10000691
