CompanyID,KnownJobs
81,|R-261001|R-264871|R-280652|R-290714|R-278105|R-246718|R-278384|R-260439|R-288585|R-298229|R-297071|R-289962|R-289966|R-283081|R-290263|R-298604|R-295277|R-277039|R-280536|R-288845|R-291805|R-260162|R-243788|R-276818|R-280090|R-280095|R-269540|R-278024|R-285310|R-297415|R-297521|R-297527|R-289220|R-289893|R-292791|R-305328|R-264160|R-303815|R-304736|R-303024|R-306723|R-299923|R-305344|R-301449|R-278078|R-271614|R-306229|R-308319|R-305607|R-305484|R-291922|R-291921|R-308791|R-308788|R-295760|R-298789|R-311521|R-299327|R-306573|R-299453|R-308017|R-309184|R-314704|R-314696|R-315878|R-312497|R-299930|R-313557|R-313638|R-316382|R-315425|R-316659|R-317505|R-317506|R-317438|R-311840|R-317700|R-317710|R-308894|R-320893|R-321538|R-321630
82,|23674928|23684373|23676008|23686116|23685085|23687448|23683482|23695449|23696917|23698001|23703476|23701226|23701416|23706333|23709959|23709752
83,|114398|114378|114387|114385|114381|113729|115075|114366|114156|114428|114411|114441|114434|114430|114437|114482|114478|114481|114485|115580|115619|115625|114585|114538|115231|115236|114693|114685|114694|114691|114692|114735|114717|114716|113851|115353|114850|114790|114779|114774|113627|115862|108889|115863|115865|115866|115897|115901|115851|115428|114777|115912|113772|116179|115251|115246|115254|115288|115286|116223|116233|116645|115918|116800|116914|116581|117100|117132|117255|117421|117422|117644|117688|117788|117940|115209|118086|117474|116720|116718|118472|118620|118650|118654|118855|116234|118885|118533|118531|118529
84,|Req1193871|Req1215592|Req1215584|Req1212262|Req1229903|Req1232211
85,
86,|R-722615|R-735279|R-736412|R-738319|R-734222|R-740336|R-740559|R-740558|R-739688|R-739695|R-740592|R-740594|R-734479|R-734504|R-734565|R-740787|R-740788|R-736796|R-740733|R-740731|R-740725|R-734562|R-735071|R-739693|R-741249|R-741253|R-741528|R-740907|R-741264|R-742382|R-740576
87,|17483152|17277424|16789894|17270115|17632101|17614756|17832287|17872105|17502540|15981657|17627545|17615180|17615175|17903016|17903028|17904220|17633253|17502063|17996170|18063726|18062908|18144977|18218100|18233149|18109341|18105895|18108281|18320259|18121331|18305388|18614470|18615324|18641287|18641709|18583963|18614967|18598930|18598804|18595214|18587223|18669928|18755302|18838238|18838035|18871866|18872330|18814616|18835070|18945728|18909664|18835035|18944840|18944073|18827502|18925051|18925049|18837641|18837640|18960989|18912092|19056608|19024609|19055538|19031654|19031708|19035390|19069702|19249035|19066258
88,
89,|R0276894|R0263951|R0283644|R0295253|R0247378|R0287683|R0284608|R0284612|R0261378|R0283156|R0288426|R0290539|R0301444|R0288724|R0277259|R0284614|R0306745|R0307118
90,|
